Code_commune_Insee_2022,Libelle_commune_2022,Population_active_emploi_1999,Distance_mediane_domicile_travail_1999_km,Population_active_emploi_2019,Distance_mediane_domicile_travail_2019_km,Ecart_distance_mediane_km,Evolution_distance_mediane_pct,Categorie_densite
02028,Athies-sous-Laon,904,6.5,1035,6.5,0,0,Bourgs ruraux périurbains
02029,Attilly,144,10.4,160,10.4,0,0,Rural à habitat dispersé périurbain
02030,Aubencheul-aux-Bois,88,2.6,108.559703937236,22.9,20.299999999999997,780.7692307692306,Rural à habitat dispersé périurbain
02031,Aubenton,188,1,220.709607986699,13.5854803993349,12.5854803993349,1258.54803993349,Rural à habitat dispersé non périurbain
02032,Aubigny-aux-Kaisnes,116,5.7,100,7.6,1.8999999999999995,33.33333333333332,Rural à habitat dispersé non périurbain
02033,Aubigny-en-Laonnois,48,16.5,44.5714285714286,19.1,2.6000000000000014,15.757575757575765,Rural à habitat dispersé non périurbain
02034,Audignicourt,28,7.6,61.5254237288136,19.4,11.799999999999999,155.26315789473685,Rural à habitat dispersé non périurbain
02035,Audigny,64,4.2,120,4.2,0,0,Rural à habitat dispersé non périurbain
02036,Augy,16,16.55,35,2,-14.55,-87.91540785498489,Rural à habitat dispersé périurbain
02037,Aulnois-sous-Laon,472,8.4,550,8.4,0,0,Bourgs ruraux périurbains
02038,Les Autels,12,4,20.3448275862069,20.501724137931,16.501724137931,412.54310344827496,Rural à habitat dispersé non périurbain
02039,Autremencourt,48,9.6,71.8320731948742,6.6,-3,-31.25,Rural à habitat dispersé périurbain
02040,Autreppes,44,11.8,85.9550561797753,11.8,0,0,Rural à habitat dispersé non périurbain
02041,Autreville,251,4.6,297.205108173222,12.1,7.5,163.0434782608696,Bourgs ruraux non périurbains
02042,Azy-sur-Marne,162,6.7,167.845186715383,6.7,0,0,Rural à habitat dispersé périurbain
02043,Bagneux,20,14.7,15,5.8,-8.899999999999999,-60.54421768707483,Rural à habitat dispersé périurbain
02044,Bancigny,12,0.3,15.625,1.8,1.5,500,Rural à habitat dispersé non périurbain
02046,Barenton-Bugny,260,11.2,243.626410400667,11.2,0,0,Rural à habitat dispersé périurbain
02047,Barenton-Cel,36,0.4,55.3846153846154,11.9,11.5,2875,Rural à habitat dispersé périurbain
02048,Barenton-sur-Serre,52,15.4,61.3846153846154,15.4,0,0,Rural à habitat dispersé périurbain
02049,Barisis-aux-Bois,240,12.6,266.093535980283,14.1,1.5,11.904761904761905,Bourgs ruraux non périurbains
02050,Barzy-en-Thiérache,104,10.7,100.9375,18.04375,7.34375,68.63317757009347,Rural à habitat dispersé non périurbain
