Commune_Number,Commune_Name,EPCI_Number,Very_Low_Income_Population_Count,Very_Low_Income_Population_Percent
4197,Sainte-Tulle,200034700,nd,9.6
4199,Saint-Vincent-sur-Jabron,200071033,nd,7.1
4200,Salignac,200071033,nd,7.1
4201,Saumane,200071025,nd,8.5
4202,Sausses,200068625,nd,8.8
4203,Selonnet,200067437,nd,9.1
4204,Senez,200068625,nd,8.8
4205,Seyne,200067437,nd,9.1
4206,Sigonce,240400440,nd,10.7
4207,Sigoyer,200068765,nd,9.7
4208,Simiane-la-Rotonde,200071025,nd,8.5
4209,Sisteron,200068765,nd,9.7
4210,Soleilhas,200068625,nd,8.8
4211,Sourribes,200071033,nd,7.1
4214,Tartonne,200068625,nd,8.8
4216,Thèze,200068765,nd,9.7
4217,Thoard,200067437,nd,9.1
4218,Thorame-Basse,200068625,nd,8.8
4219,Thorame-Haute,200068625,nd,8.8
4220,Les Thuiles,200072304,nd,7.2
4222,Turriers,200068765,nd,9.7
4224,Ubraye,200068625,nd,8.8
4226,Uvernet-Fours,200072304,nd,7.2
4227,Vachères,200071025,nd,8.5
4228,Valavoire,200068765,nd,9.7
4229,Valbelle,200071033,nd,7.1
4230,Valensole,200034700,nd,9.6
4231,Valernes,200068765,nd,9.7
4233,Vaumeilh,200068765,nd,9.7
4234,Venterol,200067320,nd,5.8
4235,Verdaches,200067437,nd,9.1
4236,Vergons,200068625,nd,8.8
4237,Le Vernet,200067437,nd,9.1
4240,Villars-Colmars,200068625,nd,8.8
4241,Villemus,200071025,nd,8.5
4242,Villeneuve,200034700,nd,9.6
4244,Volonne,200067437,nd,9.1
4245,Volx,200034700,nd,9.6
5001,Abriès-Ristolas,200067452,nd,6.3
5003,Aiguilles,200067452,nd,6.3
5004,Ancelle,200068096,nd,5.7
5006,L'Argentière-la-Bessée,240500462,nd,6.2
5007,Arvieux,200067452,nd,6.3
5008,Aspremont,200067445,nd,7.6
5009,Aspres-lès-Corps,200068096,nd,5.7
5010,Aspres-sur-Buëch,200067445,nd,7.6
5011,Avançon,200067320,nd,5.8
